DayofMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay
19,5,EV,12266,12451,116,121
4,5,US,11278,14107,-6,-3
4,2,WN,15016,10721,-2,-8
5,7,AS,12892,14057,-4,-10
18,2,US,11057,14027,0,4
29,7,WN,14771,14908,24,19
14,1,UA,15304,12266,-1,-3
5,1,EV,14524,11618,-8,10
24,1,WN,14747,11292,-1,-15
20,6,WN,14307,13204,66,82
13,6,WN,10821,13204,14,13
29,2,WN,14747,13198,-3,6
27,2,DL,14893,13487,-3,-13
24,4,MQ,13930,13871,-2,2
22,1,OO,14570,14771,87,91
26,7,DL,14771,10397,-2,8
20,6,WN,10693,13495,1,-3
6,6,OO,11292,14747,-4,5
28,1,DL,10397,12451,-2,-13
20,1,DL,13487,15016,8,1
6,7,WN,13891,14107,-6,-12
29,7,AA,13198,11298,-6,-13
28,5,UA,10140,11292,-3,-1
13,7,WN,14100,13232,94,60
22,3,DL,13204,11433,-6,26
16,2,UA,14679,12266,-5,-21
23,7,B6,10721,10423,-5,-3
14,6,DL,10397,13495,-2,-15
21,5,WN,11057,13232,-2,-15
4,4,WN,13796,14747,57,55
3,3,WN,12889,14683,-1,-6
3,3,US,14107,13342,18,27
27,6,EV,12266,11057,42,35
27,1,MQ,13930,14524,-3,-11
14,6,AA,11278,11298,0,-23
14,5,B6,12478,15304,110,93
2,7,DL,14747,10397,-6,1
11,6,AA,10529,11298,-3,-5
21,3,UA,14747,11292,-1,49
7,7,WN,11259,14683,-5,-9
5,1,WN,14683,11259,17,12
11,7,F9,11292,11697,11,17
20,2,MQ,12478,13931,45,24
26,3,DL,10397,13342,83,80
29,7,WN,14869,13796,30,24
26,5,AS,10721,14057,-2,-22
8,2,EV,11618,10693,-12,-11
3,5,DL,12953,11697,-3,-8
1,2,WN,10821,12339,-6,-16
19,7,EV,14683,11433,-11,-5
5,5,WN,11292,10529,6,-3
5,1,DL,10397,14107,-4,-19
10,1,US,12889,14100,3,7
1,3,UA,13930,14771,139,90
3,6,AA,12264,12892,0,13
8,3,DL,10423,10397,2,-11
13,4,WN,13198,13342,4,-3
26,5,DL,12889,13244,-7,-22
1,1,WN,13796,13891,4,7
3,3,US,11298,11057,2,-5
22,6,WN,11292,14679,23,35
9,4,UA,10721,13930,115,117
29,7,AS,10721,14747,4,15
14,5,9E,10821,14492,9,12
1,1,WN,14831,12892,9,-5
4,4,B6,12954,12264,2,11
9,5,WN,11292,15016,125,103
15,4,WN,11697,14307,2,4
20,1,B6,11278,10721,-10,-14
8,2,UA,14747,11618,-3,-4
21,3,OO,14869,11292,1,-3
7,6,WN,14771,12892,1,-8
23,3,WN,15016,13232,-2,11
