Origin Airport,Origin Airport Name,Origin City Name,Origin Country Name,Origin Region Name,Destination Airport,Destination Airport Name,Destination City Name,Destination Country Name,Destination Region Name,Marketing Airline,Operating Airline,Marketing Airline Name,Operating Airline Name,Code Share,Fleet,Manufacturer,Flight No,Effective Date,Discontinued Date,Departure Time,Arrival Time,Flight Duration (mins),Departure Terminal,Arrival Terminal,Restricted Code,Frequency,Schedule Type,DepCount,Operating Airline   Capacity,Operating Airline   ASM(Nautical)(Millions),Distance (N.Mil)
BHM,SHUTTLESWORTH INTERNATIONAL AIRPORT,BIRMINGHAM,UNITED STATES,NORTH AMERICA,SDF,INTERNATIONAL-STANDIFORD FIELD AIRPORT,LOUISVILLE,UNITED STATES,NORTH AMERICA,WN,WN,Southwest Airlines Co,Southwest Airlines Co,NO,733,BOEING,609,20001101,20001130,12:25,14:30,65,,, , 12345-7 ,AIR,6,822.0,0.23,280.0
PQM,PALENQUE INTL AIRPORT,PALENQUE,MEXICO,NORTH AMERICA,FRS,MUNDO MAYA INTL AIRPORT,FLORES,GUATEMALA,CENTRAL AMERICA,AM,QA,Aeromexico Aerovias de Mexico S.A. de C.V.,Cimber A/S,YES,J31,BAe,7304,20001101,20001130,14:40,15:10,30,,,A, 1-3-5-- ,AIR,3,,,
CZX,BENNIU AIRPORT,CHANGZHOU,CHINA,FAR EAST ASIA,SHE,TAOXIAN INTERNATIONAL AIRPORT,SHENYANG,CHINA,FAR EAST ASIA,4G,4G,Gazpromavia Aviation Company Ltd.,Gazpromavia Aviation Company Ltd.,NO,737,BOEING,841,20010301,20010331,12:10,14:20,130,,, , -2-4-6- ,AIR,3,303.0,0.19,619.0
SDU,SANTOS DUMONT AIRPORT,RIO DE JANEIRO,BRAZIL,SOUTH AMERICA,VIX,E. DE AGUIAR SALLES AIRPORT,VITORIA,BRAZIL,SOUTH AMERICA,SL,SL,Thai Lion Mentari Co. Ltd,Thai Lion Mentari Co. Ltd,NO,735,BOEING,5176,20001101,20001102,15:34,16:25,51,,, , 12345-7 ,AIR,2,222.0,0.05,223.0
DTM,DORTMUND AIRPORT,DORTMUND,GERMANY,WESTERN EUROPE,FMO,MUENSTER AIRPORT,MUENSTER,GERMANY,WESTERN EUROPE,NW,EW,NORTHWEST AIRLINES INC.,Eurowings GmbH,YES,ATR,ATR,3741,20001101,20001130,10:50,11:15,25,,,A,1234567,AIR,7,,,38.0
KIX,KANSAI INTERNATIONAL AIRPORT,OSAKA,JAPAN,FAR EAST ASIA,GMP,GIMPO INTERNATIONAL AIRPORT,SEOUL,SOUTH KOREA,FAR EAST ASIA,KE,KE,Korean Air Lines Co. Ltd.,Korean Air Lines Co. Ltd.,NO,AB6,AIRBUS,726,20010301,20010331,15:40,17:30,110,,, , -234-67 ,AIR,5,1100.0,0.5,456.0
PDX,PORTLAND INTERNATIONAL AIRPORT,PORTLAND,UNITED STATES,NORTH AMERICA,SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,NORTH AMERICA,AS,QX,Alaska Airlines,Horizon Air Industries Inc.,NO,DH8,De Havilland Canada,2060,20001101,20001122,19:00,19:50,50,,, ,1234567,AIR,7,259.0,0.03,110.0
CLP,CLARKS POINT AIRPORT,CLARKS POINT,UNITED STATES,NORTH AMERICA,DLG,DILLINGHAM AIRPORT,DILLINGHAM,UNITED STATES,NORTH AMERICA,KS,KS,Penair,Penair,NO,PAG,Piper,734,20001101,20001130,14:55,15:05,10,,, ,1234567,AIR,7,56.0,0.0,8.0
CTU,SHUANGLIU INTERNATIONAL,CHENGDU,CHINA,FAR EAST ASIA,KWL,LIANGJIANG INTERNATIONAL AIRPORT,GUILIN,CHINA,FAR EAST ASIA,SZ,SZ,Aircompany Somon Air LLC,Aircompany Somon Air LLC,NO,737,BOEING,4323,20010301,20010331,16:20,17:50,90,,, , -2-4--- ,AIR,2,244.0,0.11,460.0
YQM,GREATER MONCTON INTERNATIONAL AIRPORT,MONCTON,CANADA,NORTH AMERICA,YHZ,STANFIELD INTERNATIONAL AIRPORT,HALIFAX,CANADA,NORTH AMERICA,AC,QK,Air Canada,Jazz Aviation LP,NO,DH1,De Havilland Canada,8790,20001101,20001130,7:00,7:39,39,,, , 123456- ,AIR,6,222.0,0.02,89.0
BFS,BELFAST INTERNATIONAL AIRPORT,BELFAST,UNITED KINGDOM,WESTERN EUROPE,GLA,GLASGOW INTERNATIONAL AIRPORT,GLASGOW,UNITED KINGDOM,WESTERN EUROPE,BA,TH,British Airways p.l.c.,Raya Airways Sdn Bhd,NO,ATP,BAe,8788,20001101,20001130,20:20,21:10,50,,M, , 1---5-- ,AIR,2,128.0,0.01,96.0
DEN,DENVER INTERNATIONAL AIRPORT,DENVER,UNITED STATES,NORTH AMERICA,IAD,DULLES INTERNATIONAL AIRPORT,WASHINGTON,UNITED STATES,NORTH AMERICA,AC,UA,Air Canada,"United Airlines, Inc.",YES,777,BOEING,5670,20001101,20001130,10:30,15:36,186,,,Y,1234567,AIR,7,,,1265.0
SGN,TAN SON NHAT INTERNATIONAL AIRPORT,HO CHI MINH CITY,VIETNAM,SOUTHEAST ASIA,KHH,KAOHSIUNG INTERNATIONAL AIRPORT,KAOHSIUNG,TAIWAN,FAR EAST ASIA,VN,VN,Vietnam Airlines JSC,Vietnam Airlines JSC,NO,320,AIRBUS,926,20010301,20010331,17:15,21:10,175,,, , 1-3-56- ,AIR,4,600.0,0.64,1062.0
ELP,EL PASO INTERNATIONAL AIRPORT,EL PASO,UNITED STATES,NORTH AMERICA,IAH,GEORGE BUSH INTERCONTINENTAL AIRPORT,HOUSTON,UNITED STATES,NORTH AMERICA,HP,RU,Amapola Flyg AB,AirBridgeCargo Airlines LLC,YES,ERJ,EMBRAER,4164,20010301,20010303,13:39,16:34,115,,B,Y, -----6- ,AIR,1,,,586.0
EWR,NEWARK LIBERTY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,NORTH AMERICA,ROC,GREATER ROCHESTER INTERNATIONAL AIRPORT,ROCHESTER,UNITED STATES,NORTH AMERICA,CO,RU,Cobaltair Ltd,AirBridgeCargo Airlines LLC,NO,ERJ,EMBRAER,3604,20010302,20010330,07:55,09:15,80,C,, , -2345-- ,AIR,3,150.0,0.03,211.0
BFS,BELFAST INTERNATIONAL AIRPORT,BELFAST,UNITED KINGDOM,WESTERN EUROPE,LTN,LUTON AIRPORT,LONDON,UNITED KINGDOM,WESTERN EUROPE,U2,U2,Easyjet Airline Company Limited,Easyjet Airline Company Limited,NO,733,BOEING,366,20001104,20001130,16:25,17:35,70,,, , -----6- ,AIR,1,148.0,0.04,272.0
BKK,SUVARNABHUMI INTERNATIONAL,BANGKOK,THAILAND,SOUTHEAST ASIA,DAC,HAZRAT SHAHJALAL INTERNATIONAL,DHAKA,BANGLADESH,ASIA SUB-CONTINENT,TG,TG,Thai Airways International Public Company Ltd,Thai Airways International Public Company Ltd,NO,M11,MCDONNELL-DOUGLAS,321,20001101,20001130,10:45,12:15,150,1,, ,1234567,AIR,7,1995.0,1.7,852.0
