,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
,AAL,AAL,AAL,AAL,AAL,DAL,DAL,DAL,DAL,DAL,UAL,UAL,UAL,UAL,UAL
2022-01-01,18.310172440854444,18.989071781340428,17.549166517376328,18.274331949773043,6288587,44.789778342105095,45.50853583904127,43.68591470533321,44.90572031291046,13394415,51.90443331078043,53.849405259605646,50.92753521693595,52.03897144379748,4971711
2022-01-02,17.432982966889032,17.849156184958606,17.008953439957818,17.417091577269854,6359206,44.6664976370005,45.34272246944188,43.58655826716542,44.69846355048273,6819711,53.29980397075332,54.37703222335343,52.504034580324756,53.32132495414207,6573282
2022-01-03,17.904005101417656,18.42007093768615,17.646613011852356,17.939683183218538,5809049,46.40484977649078,47.10218607660197,45.46070574531224,46.6172755825298,2937244,49.549870625760896,50.46711075757323,48.04948374665514,49.40683330203093,3057141
2022-01-04,18.221039241562227,18.69186830691187,17.744846608569937,18.249576505294115,7945962,45.78751865663288,46.36933592183672,44.95104426936654,45.62652957660298,2143175,49.776903953126386,51.59508340038899,48.43758228078913,49.892810414028766,13166520
2022-01-05,18.433093270573075,18.917434630908183,17.958712997995978,18.390236103655685,8213971,46.523512894334424,47.36669596590377,45.08559126176828,46.47719765006734,3289348,49.26714561548206,50.41546665808394,48.48563619626645,49.073605751904836,5045710
2022-01-06,17.57062543199258,17.890852956592774,17.401498142273994,17.64454727592449,10316626,46.059827281076224,47.563286501448395,45.26928989725273,46.21459206149282,2789070,50.436363855469274,52.06885317687572,49.16689435572766,50.274662897767,14586742
2022-01-07,18.469588119875443,18.68004075361125,18.140669458418795,18.42323988930077,5644740,47.34759378140736,47.98146504709923,46.38847363181459,47.26745905502405,6370979,53.85585043059189,55.116464529725505,51.913078706431904,54.072628686592815,8017978
2022-01-08,17.18927051403212,17.56530559399338,16.96798927222411,17.264378171710053,9902462,47.562724163052756,49.14505780444251,45.94482356235211,47.332981292084426,6278724,54.048384222051006,55.0029310678984,52.72143421261309,54.17225076734713,11732242
2022-01-09,16.525048633937075,16.763781097924205,16.00147162207248,16.593232283308243,9599439,46.55022294202068,47.485013475398425,45.870333345211755,46.7759819449422,13445510,53.83489223568539,54.85298834779566,52.936055873957734,54.00561972160351,7049919
2022-01-10,17.477031127724956,17.987329415473667,17.35705516327265,17.562857698121324,11862210,46.440710581950846,47.582178009896374,44.7250072620025,46.23717713877006,3982811,54.49409953448261,55.36249482398262,53.26262079319232,54.545313390281706,14961897
2022-01-11,18.084404872753357,18.431808879394847,17.448357922530207,18.09829230473555,11344305,47.093984627645376,48.74920983742306,45.10691996750536,46.89089887901658,12402002,53.76866045598254,54.54622406649134,53.05624657000552,53.944547084679975,2439527
2022-01-12,18.736479303170672,19.30137364797607,18.364174922821555,18.722965072399465,2024002,48.515260897770695,49.54182203375349,48.022660452319464,48.582765584270135,4891768,56.06184308922932,56.68316034403759,54.14145538900621,56.034874152567724,3657652
2022-01-13,18.867012036628193,19.533927768218835,18.35162231843252,18.92786516868128,3854632,48.87547070236928,49.635512270540055,47.98513252165042,48.896419660362675,9442715,57.06051701562336,57.523328724559605,56.161836644143015,56.83751834937764,13547472
2022-01-14,18.190142859752157,18.53824699238756,18.056395286469055,18.25565043841692,10342865,50.41912411506128,51.773900995850184,48.43454953808272,50.21957815714563,12170324,59.67512083653651,60.77924723772705,58.33077010925699,59.87938134602991,3684887
2022-01-15,17.422152074623757,18.20022621863717,17.006021351440115,17.506060655537595,7361167,52.78379415195406,53.50928966811356,51.668610359804184,52.8081682612935,7279985,60.152649107869586,61.40303618246749,57.980136859274644,59.91446688744393,7033286
2022-01-16,17.089944371596253,17.36178423618277,16.504985242384258,17.162831980957833,13819461,52.933113459538895,54.39209017186877,51.27988936182291,52.900272980232224,3957041,55.2378386004876,55.693456726454585,52.85800109148407,54.984728226766684,13832613
2022-01-17,16.511165897940163,16.964028796055963,15.894511682086085,16.515400771325687,2389659,53.25515531379718,54.13916766766579,52.50235482108363,53.45630262429552,3893734,54.485589505972236,56.156612399809504,52.77594831491047,54.41353905313129,12936761
2022-01-18,16.236460525303592,16.672295928271343,16.008621239887557,16.29035381897358,6345056,52.30439347085004,53.67038565462487,50.71701000050082,52.53718440077709,8961451,55.17076324101826,55.96463671994762,52.86760126969849,55.067622148056394,9251789
2022-01-19,16.748615379609742,17.462723124237623,16.234492961018,16.792201499814226,11960819,51.80250286634949,53.90687854106998,50.171862781599664,51.948909474629005,5737940,55.030266435436765,56.95447195045479,54.423855055194586,55.02481902351554,9760034
2022-01-20,16.3890121051739,16.881058927832196,15.821627773788132,16.394120554829176,9174323,55.71005720939693,56.07193827355205,54.11165434108925,55.515603358813486,10474640,52.92046598082805,54.44169816271324,52.1509251602651,53.056085254122515,9708007
2022-01-21,16.165881674085263,16.516699391276152,15.646166161775703,16.17294362442171,5386782,58.25271510416478,58.67958730390245,56.64792479670908,58.08167901472774,8279288,55.596393963294474,56.1058614521223,54.00612876935101,55.48987818166737,4146437
2022-01-22,16.930168013866453,17.485543580358403,16.55652316194797,16.903396866292134,7199380,55.722629144351856,56.13277491754436,54.19887002049961,55.576893484502584,2574636,55.077353021090104,56.09118731025291,53.37318763663931,55.031379221823435,10440690
2022-01-23,16.772252432082762,17.28765779984048,16.516042228818566,16.773504696096328,5406496,54.526202163656244,55.503710465446964,53.216884635808746,54.520784927744124,7405831,55.18385385610231,56.2217446287782,53.18172977638004,55.37594233013121,7759063
2022-01-24,16.42212439794015,16.901178413635286,16.06000307497014,16.47431793860067,14995131,57.348691143645965,59.54525732415161,56.68282634357998,57.51989989745782,8362391,54.031412613259704,54.584512894726835,52.10136835078675,53.972001164691996,4416869
2022-01-25,17.65690036607791,17.919290151235458,17.242381304358144,17.685640563658218,12813005,56.93398329416597,57.6740645323255,55.44341666293847,56.729271424318405,11019986,53.48958160386549,54.1292775287021,51.42089707243759,53.31141311582736,8772017
2022-01-26,16.995016740958754,17.30314630111375,16.467687188219678,16.95547249691039,7833191,60.398359123169605,61.05932231970884,58.494459599175265,60.16617402533335,3281547,54.65704153528081,55.63354691681499,54.11082822514713,54.81649079546448,3001665
2022-01-27,16.97718216776232,17.474705280940004,16.382082005118093,17.05571683077088,10759349,59.901427105283446,60.807123683578226,58.36278555715319,60.11414495723999,3410162,54.86735643532564,56.818931799558406,52.90262828761644,54.69054615422245,8147191
