flight_id,airline,aircraft_type,route,passengers,fuel_cost,revenue,delay_minutes
FL0300,United,Boeing 737,Domestic,99,12866.506573407456,50991.315255108224,1.6417965354404886
FL0301,Southwest,Boeing 787,Domestic,88,18061.297424237397,19516.037056659363,16.017351800499128
FL0302,JetBlue,Boeing 787,International,275,17450.66704477067,43643.70677560995,12.283622513549934
FL0303,American,Boeing 777,International,252,21687.92601512393,62622.881781504126,2.1119248353923976
FL0304,JetBlue,Airbus A320,Domestic,93,14405.913935460752,64450.7917585915,4.568456303954298
FL0305,American,Boeing 777,International,193,13521.874502526762,35113.225038675824,1.118314345857824
FL0306,JetBlue,Boeing 787,Domestic,221,16127.166789289657,59967.7771552536,9.894169475129024
FL0307,Southwest,Boeing 787,Domestic,238,21827.36585356945,38101.41319246741,1.293935931918604
FL0308,United,Boeing 787,Domestic,293,13670.692864179942,43131.08062796532,42.64006729289723
FL0309,Southwest,Boeing 777,Domestic,356,8217.066776946562,43814.20323602973,15.17232888129288
FL0310,Alaska,Airbus A320,Domestic,227,16691.257079594503,49414.44822617031,4.946874631923913
FL0311,Delta,Boeing 737,International,183,19538.47333747523,61017.76393178121,8.640871910500847
FL0312,United,Boeing 777,Domestic,153,13255.82101555244,51439.59896837844,24.22966935059001
FL0313,Southwest,Boeing 787,Domestic,331,19213.382954730445,46360.28711579002,8.07658953525891
FL0314,Alaska,Boeing 777,Domestic,345,13185.084847960139,60575.0460294968,1.9176418206573729
FL0315,Delta,Boeing 787,Domestic,360,16031.012685786627,37565.40192696171,4.759466228302757
FL0316,Alaska,Boeing 737,Domestic,163,18908.583408915383,46996.173234916656,18.52432606785986
FL0317,American,Boeing 737,International,230,12700.110714436996,60945.15596890787,10.334230867400066
FL0318,American,Airbus A320,International,195,17080.842660824175,54880.98075327745,10.518939387495529
FL0319,JetBlue,Boeing 787,International,342,20387.91523613516,41938.04829321614,20.160648378543687
FL0320,United,Airbus A320,International,177,18016.589117476324,28331.562034196522,22.440620422850014
FL0321,American,Airbus A320,Domestic,97,14193.996615709544,52041.156480332545,25.231391471947113
FL0322,Alaska,Boeing 737,Domestic,344,21359.89872869374,27477.22237526114,0.9965371187533156
FL0323,United,Boeing 777,Domestic,193,18606.856038151967,45237.482259014854,7.855388277457019
FL0324,American,Boeing 777,Domestic,273,10546.566400242218,63326.32919007668,13.490352676786701
FL0325,JetBlue,Airbus A320,Regional,179,19265.579567149525,55757.862401924045,14.143928320876784
FL0326,Southwest,Boeing 737,Domestic,189,14671.602392264715,21692.498285841826,9.33223795333167
FL0327,JetBlue,Boeing 787,Domestic,92,17129.003352455886,50605.86955642412,1.8246636949921733
FL0328,Delta,Boeing 777,Regional,151,19725.61281373843,43850.791110166276,15.96623143161346
FL0329,American,Airbus A320,Regional,275,14741.265329072532,31441.673790569155,12.733633745807946
FL0330,Delta,Boeing 777,International,340,11234.103635066196,52355.27684542733,0.9007326511467504
FL0331,Delta,Boeing 777,Domestic,93,21317.74461409865,41607.407965720544,6.232663761276579
FL0332,Alaska,Boeing 787,Domestic,201,20226.66710784623,41688.05749768653,1.911331444817253
FL0333,United,Boeing 737,Domestic,351,16220.780757814573,49612.58653954737,4.117000737415673
FL0334,Alaska,Boeing 787,Domestic,183,19230.94864477477,39863.5010982807,0.18246552658334125
FL0335,American,Boeing 737,Domestic,248,15317.96245739621,49244.56584026532,5.113755556354032
FL0336,Delta,Boeing 777,Domestic,225,16810.30456563472,40286.776434810854,7.982342250726595
FL0337,Southwest,Airbus A320,Regional,352,16038.278583562433,41000.001011906956,9.664861891767073
FL0338,Delta,Boeing 787,Domestic,121,15447.378926856632,60908.087000841864,10.891284382694685
FL0339,Southwest,Boeing 737,International,158,17649.768256274416,62230.731272943594,18.0966673005368
FL0340,Alaska,Boeing 777,International,157,12633.827764334117,25787.494787145875,2.4266142593283737
FL0341,Alaska,Boeing 737,Domestic,283,15694.941341550148,57711.946970005185,1.283810469549652
FL0342,United,Boeing 737,International,214,17506.334311946895,66181.68306013937,19.074206678845616
FL0343,Delta,Boeing 737,Domestic,330,22381.922265477235,68245.89862624649,1.7032913210886145
FL0344,JetBlue,Boeing 777,Domestic,144,12763.890510999372,54764.93643650654,36.79328463826016
FL0345,Alaska,Airbus A320,International,363,18165.769784743767,34253.82784932933,18.485725765198076
FL0346,Alaska,Airbus A320,Domestic,187,18516.476084569156,56189.750924517946,6.949019310135927
FL0347,United,Airbus A320,Regional,235,10494.500061815243,36699.719382193085,39.85746239712025
FL0348,Southwest,Boeing 737,Domestic,241,17813.702446109604,43541.452839963495,1.024500098564475
FL0349,United,Boeing 777,International,290,19316.912252748098,52980.06804158264,3.6106422156098716
FL0350,Delta,Boeing 737,Domestic,263,18383.688574023792,37538.12849395639,10.167311904444862
FL0351,American,Airbus A320,Domestic,281,16231.43278440744,33096.796012668805,4.307934830300976
FL0352,American,Airbus A320,Domestic,307,17566.368116871774,54055.0531403807,26.36276926252649
FL0353,Southwest,Boeing 777,International,173,17043.503031196895,72273.9146560601,0.6787858700878611
FL0354,Alaska,Boeing 737,International,371,11093.736517391377,64162.04629623303,7.972015097862858
FL0355,Southwest,Boeing 787,International,360,17118.62503921429,57193.42040565123,8.937132017998028
FL0356,Alaska,Boeing 787,Domestic,320,15325.374700858649,60729.41066266653,10.576473008502889
FL0357,Alaska,Airbus A320,International,267,14244.569052806455,56290.35346336491,2.9526572019694037
FL0358,American,Boeing 777,International,293,24451.90385147729,53848.70298232211,4.534477217780776
FL0359,Southwest,Boeing 737,International,214,20508.370302782583,59682.03191478241,18.558534790312862
FL0360,United,Boeing 737,Domestic,237,12819.44940699396,30211.27980329771,2.168419096436577
FL0361,Alaska,Airbus A320,International,97,17609.235829010686,50593.30889275787,17.537000869278753
FL0362,JetBlue,Airbus A320,International,206,21165.68088180584,46947.673318830035,8.270338886506579
FL0363,JetBlue,Boeing 737,Domestic,304,11712.162706956795,49025.73680487933,14.362727779971749
FL0364,United,Boeing 737,International,190,16746.346052502893,42002.161208291735,12.50391564420102
FL0365,JetBlue,Airbus A320,International,154,16897.032722302378,54766.341982065016,2.32577278553416
FL0366,Delta,Boeing 737,Domestic,279,12421.622776003127,37366.935874061106,8.412127970078872
FL0367,Alaska,Boeing 787,Domestic,270,17714.560974759133,41059.88591790356,20.228582254819823
FL0368,United,Airbus A320,Domestic,183,20071.988449658,39499.5611225227,5.658385234599873
FL0369,Southwest,Boeing 737,Domestic,166,21325.752292541292,59231.3062845083,33.98923076555259
FL0370,Alaska,Airbus A320,International,159,15702.034874796973,47847.59445828049,6.018725875234385
FL0371,United,Boeing 777,Domestic,276,24505.264112432364,42009.17958264208,1.540672594193694
FL0372,American,Airbus A320,International,298,9914.506389130383,43145.41396478965,4.93369997015077
FL0373,Southwest,Airbus A320,Regional,228,17639.893471406278,48050.448016845294,30.303735413150065
FL0374,American,Boeing 777,Domestic,300,11980.658176224462,69088.2739453081,3.8525204937380675
FL0375,Alaska,Boeing 787,Regional,99,16788.584439990078,31925.235627493264,20.256972683862262
FL0376,Southwest,Boeing 737,Regional,301,14829.898399663905,56781.62996983721,21.30740576562935
FL0377,JetBlue,Boeing 777,International,119,18122.007860449798,54134.210394403104,4.3106991778420936
FL0378,United,Airbus A320,International,267,16093.981714872978,36521.44982019191,0.8692882554323832
FL0379,Alaska,Boeing 737,Regional,354,13856.850630315148,67069.35277201093,12.893778690672981
FL0380,Delta,Boeing 777,International,184,14067.068967795265,55010.64586144879,3.732578244646098
FL0381,Southwest,Boeing 737,Domestic,91,22683.87039183857,41399.467058013164,15.275059793523484
FL0382,Southwest,Boeing 737,International,114,17919.275963079726,23827.62676269862,5.84570568956086
FL0383,Alaska,Boeing 777,International,228,11053.188139077158,50978.90884848846,6.641064587952706
FL0384,Alaska,Boeing 737,International,195,18262.520752373643,47418.30739817222,15.046699026416272
FL0385,American,Boeing 787,Domestic,316,15877.03468045441,34600.73189354045,4.818549087530512
FL0386,JetBlue,Boeing 777,International,263,16514.723478710846,34433.01266823672,5.854186923446787
FL0387,American,Boeing 787,Domestic,156,19123.64209274175,59290.628272553564,4.719101956202916
FL0388,American,Airbus A320,Regional,294,20286.326955881108,22575.966204827066,4.578229404056283
FL0389,JetBlue,Boeing 737,Domestic,304,13751.799270653795,52085.67581594947,7.464352566790663
FL0390,Delta,Airbus A320,Domestic,164,16404.82670670277,45563.3193209588,16.54432373040347
FL0391,American,Airbus A320,Domestic,167,14752.444791236578,54463.01276859471,4.490539141026324
FL0392,American,Boeing 737,Domestic,126,18409.95897943764,44174.034871817385,7.42872695162486
