DayofMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay
12,5,WN,14107,10397,32,13
26,3,B6,12478,12954,2,-13
9,1,YV,12264,13851,-11,-34
22,1,DL,11433,10397,-4,-10
10,1,WN,11259,14683,13,8
28,3,9E,11193,13487,-3,-12
12,1,WN,14831,14908,15,8
30,2,US,14635,11057,63,90
26,6,EV,13931,11618,27,51
3,3,EV,13244,12266,-12,-4
21,3,UA,13930,12266,-6,-18
12,5,B6,13204,14843,4,4
30,2,9E,13930,13487,-6,-22
18,6,AS,14747,13487,-3,-13
14,2,WN,13871,14107,3,-14
10,1,AA,10721,11298,8,-15
1,1,OO,14057,12954,-7,-3
23,2,MQ,11057,13303,7,13
8,6,HA,13830,12173,2,7
12,5,AS,14679,10721,-7,-7
31,5,WN,13198,13796,1,-9
3,6,B6,14057,12954,-2,1
7,6,EV,15016,12266,-5,-2
4,4,OO,13198,14771,4,-10
6,1,UA,11618,12892,-5,-21
26,1,UA,12266,14908,-3,-22
13,5,EV,11618,11057,39,39
7,5,US,11057,12478,179,173
30,3,UA,13930,11292,112,125
11,5,YV,11057,14524,-4,-7
31,4,EV,12264,10397,19,34
4,7,WN,14831,12889,-4,-2
30,5,DL,13342,10397,-4,0
14,7,WN,13342,15016,-6,-9
24,2,FL,13495,10397,-8,-7
27,6,WN,14869,13796,3,-6
28,2,AA,11298,14831,3,10
25,2,WN,13232,14747,31,42
2,4,DL,12953,15304,51,54
12,7,OO,14771,14679,-3,9
23,2,EV,10397,12264,1,-16
10,5,MQ,12953,11057,0,16
15,4,UA,13930,11292,1,-13
7,1,OO,15376,12892,-7,-23
20,5,AS,14057,12892,3,1
3,3,FL,14635,10397,1,-10
6,6,UA,12953,12266,-5,-17
11,4,UA,11697,12266,16,9
3,5,UA,12892,13930,20,122
8,7,EV,11057,12266,-9,-31
19,3,OO,12266,13487,-6,-11
23,1,EV,10693,12266,28,19
22,4,DL,14831,13487,0,-3
7,5,AA,13930,11298,13,-1
2,2,AA,10721,11298,-5,11
9,4,EV,14122,11193,-2,-13
22,1,DL,14100,10397,52,155
9,7,UA,11298,12264,31,36
16,4,UA,12892,11292,0,-15
6,2,EV,13487,13871,8,1
2,1,B6,12478,10792,9,68
21,7,US,12953,14100,-5,40
30,3,WN,14679,13198,18,-8
21,3,US,11057,14492,-2,-3
6,6,US,11057,11042,3,0
2,2,EV,13871,13930,-15,-6
28,6,MQ,11618,13930,12,0
30,2,MQ,14100,13930,22,8
13,6,DL,14843,10397,-6,4
3,3,WN,11292,13851,0,-11
18,5,WN,10693,15304,10,4
17,3,WN,11433,13232,-2,12
30,2,FL,10397,12339,0,5
15,2,WN,13487,15016,-3,-1
16,2,DL,12478,15304,-3,-34
25,4,YV,14107,10140,-2,-8
25,7,EV,14524,11618,-6,15
27,5,DL,13487,14893,-8,2
9,5,DL,11057,13487,4,-12
14,7,WN,14831,14679,-3,-10
14,1,MQ,10693,13930,-4,-9
2,7,UA,12264,11292,-5,-11
4,4,YV,11057,10693,0,0
8,3,UA,11292,12266,9,-8
7,7,US,11278,13204,-1,5
20,2,MQ,11278,10693,-4,-15
18,3,EV,12266,10397,0,7
16,1,AA,11298,14831,39,43
4,4,UA,14747,13930,5,-15
1,1,B6,11618,13204,34,71
7,5,WN,13232,15304,36,37
13,6,AA,11298,13303,8,-22
26,3,WN,14107,12889,3,-3
3,1,WN,13232,12451,-2,-12
22,7,WN,10821,10792,-1,-4
3,4,UA,10423,12266,-6,-15
20,1,AA,12889,13930,-3,40
9,2,US,14679,14100,9,7
17,5,EV,10792,13930,-10,-11
30,1,WN,11259,12191,-2,-3
5,1,US,10693,11057,-6,3
8,7,DL,13198,10397,-5,-9
28,3,WN,11292,14831,-3,0
19,5,B6,13796,12264,6,-9
27,6,DL,13204,10397,-6,-15
30,3,MQ,12191,11298,13,45
14,2,WN,10821,15304,20,8
5,4,DL,12478,11697,-4,-18
22,3,UA,14771,13930,3,-9
8,7,UA,13303,12266,-2,-8
4,4,AA,12266,11298,-3,-13
26,1,OO,14869,12892,-5,-4
6,2,EV,13930,10792,32,25
1,2,DL,12892,11433,3,3
17,4,UA,10721,14771,44,15
4,5,AA,11298,13204,2,-10
25,7,WN,11292,12892,1,11
31,3,OO,11292,10140,-3,-8
30,7,UA,12264,11292,8,1
8,7,UA,12889,14771,-5,-12
12,5,DL,10397,12953,156,141
21,2,UA,12264,13204,-3,-24
4,2,AA,14771,13930,-5,-15
16,5,DL,11433,10529,-3,-12
22,2,AA,11618,11298,-5,19
16,7,AA,13204,13930,-7,-21
20,7,UA,12892,14771,-4,-3
2,7,OO,14771,10423,-7,-8
22,1,EV,12478,12264,-5,5
30,7,MQ,13198,13930,-1,9
8,3,F9,11292,13232,-2,12
18,4,B6,10721,13204,-6,-15
23,4,EV,11433,14122,135,128
1,2,FL,10821,11697,-7,-24
31,5,US,12892,14107,-4,-8
24,1,MQ,13930,10821,23,71
9,4,WN,12892,14831,15,4
10,3,WN,13342,13198,35,31
9,2,WN,13796,14107,33,26
17,2,US,11278,12953,10,52
22,1,WN,11292,14683,3,-1
2,2,DL,10397,11042,0,-12
15,7,EV,13342,11433,-5,-19
16,3,US,14107,12266,-6,-11
4,6,OO,12892,12889,-1,-10
6,6,DL,14869,14679,0,1
9,3,WN,13495,12191,-2,1
28,2,WN,13232,10792,6,12
9,5,OO,13930,13342,57,62
11,4,DL,13487,13232,-3,-11
6,5,DL,14869,13796,2,-4
20,7,B6,10721,14027,-3,9
11,5,VX,14771,11298,-9,-7
17,3,US,14107,11433,0,-12
7,7,DL,11193,10721,2,-8
30,2,EV,11042,11057,-19,-28
31,5,WN,13891,13796,0,-3
23,3,WN,11433,14107,0,-7
18,5,UA,14843,11618,-2,-5
14,1,MQ,13303,12451,-8,-9
10,3,WN,11618,10423,-7,-30
28,5,B6,12478,12889,98,97
1,1,MQ,13930,12339,-4,-5
18,6,FL,10397,13204,-4,-17
14,2,WN,11292,13891,-1,-3
19,7,HA,13796,13830,-11,-3
15,7,EV,13871,12953,-2,-19
20,7,WN,10397,10423,22,38
19,4,DL,14747,11193,-3,-16
14,7,AA,13303,15016,-7,-22
16,1,AA,10423,11298,-3,-8
11,3,YV,14683,14107,-12,-25
1,4,YV,15016,11057,-5,-8
30,4,US,10397,14100,-5,-20
9,1,AA,13930,11298,-5,-22
15,3,OO,10693,13487,-2,-12
10,5,EV,11618,11278,58,62
28,5,EV,13342,11042,2,9
13,5,OO,11298,12266,-9,-14
29,7,DL,14869,11057,152,133
29,2,WN,13495,11259,1,6
28,3,B6,12478,12191,143,144
20,1,WN,11292,12889,16,3
23,2,WN,13232,15376,55,51
12,4,OO,14771,13851,-1,6
15,1,UA,11292,10821,-1,16
2,4,AA,13303,11278,10,0
3,5,F9,11292,11278,-2,1
16,7,WN,13232,13204,22,34
27,6,DL,10397,10423,-4,-17
15,1,US,12953,10721,-3,-1
21,1,WN,14107,11292,31,20
17,5,UA,14107,13930,-9,-14
22,1,US,14107,14100,-2,30
11,5,AA,15304,13930,-3,10
28,1,OO,11298,13930,-6,-4
10,4,US,11298,14107,-3,0
19,6,UA,13930,11042,-10,-32
10,1,MQ,13930,14683,113,98
7,5,OO,13495,13487,1,-8
19,7,EV,12478,12264,31,19
28,3,DL,13487,12953,1,16
20,7,WN,13796,12892,1,-1
8,1,AA,11298,13198,0,1
4,7,OO,14869,14771,38,35
4,4,OO,14107,12892,-3,0
20,6,US,14869,14100,-6,44
31,6,DL,10397,13931,-1,1
5,5,MQ,10693,12478,-7,-41
23,5,FL,13487,10397,9,1
12,5,FL,12339,14635,-2,-4
20,6,F9,11292,14747,2,12
18,3,US,11057,11433,-7,-21
4,4,UA,12266,12953,-1,-24
7,3,AA,13303,10397,-2,-8
22,3,DL,11618,10397,-4,-9
16,3,US,14100,11057,-3,-11
9,5,YV,13830,12173,0,7
26,5,DL,13487,14771,1,-17
12,3,AS,10299,14747,-6,-18
23,7,B6,12264,12478,-3,-15
19,5,UA,12889,14771,171,160
25,3,WN,13198,12892,0,9
8,2,US,13244,11057,-4,5
12,3,FL,11697,10821,5,6
23,2,AA,11298,13303,-2,-7
9,2,EV,10721,11193,3,-9
19,5,MQ,14679,12892,-6,-10
2,2,OO,14869,13198,-7,-1
22,6,OO,10821,13487,14,16
22,1,DL,10397,13204,0,-5
16,3,B6,10721,11618,-8,-12
24,6,AA,11278,15016,-17,-34
9,2,FL,13232,13204,-4,8
3,4,B6,14492,10721,-12,-16
22,3,US,11433,14107,-3,10
20,5,US,13204,11057,-3,-1
26,5,WN,13232,15016,-1,8
4,4,AA,14100,13930,-7,-21
26,6,AA,12478,12892,-4,-17
16,5,UA,11618,12266,0,-3
10,5,WN,10397,11292,10,8
19,5,AA,13930,12953,277,258
24,6,WN,12889,15016,6,1
26,1,AA,11298,13930,-5,0
18,2,OO,14771,12892,-3,26
5,5,DL,13487,11292,0,-10
18,4,AA,11298,14771,51,38
11,7,UA,12892,12478,-5,-23
5,5,AA,12892,12478,-2,-24
20,5,F9,12892,11292,-1,-8
10,3,UA,11042,14771,4,-11
1,4,DL,10397,13244,-3,-13
17,3,B6,10721,12264,-4,-9
24,5,DL,12191,10397,-2,11
8,7,9E,13232,11433,-5,-21
14,7,YV,11433,11057,-8,-2
26,7,MQ,13303,12339,-4,-5
28,6,AS,13796,12173,-4,-37
13,6,DL,14492,10397,-5,-20
28,7,UA,12266,13495,1,-9
21,3,UA,11618,11042,-4,-20
30,7,WN,11259,10140,21,13
5,5,WN,10693,12451,23,23
16,7,AA,13930,14100,41,36
24,1,WN,14679,14893,7,7
10,4,AA,11298,13342,4,5
27,2,AA,11292,11298,-6,-6
14,2,US,14107,12892,-4,-13
15,4,OO,14893,14869,-8,-11
28,5,AA,13930,14679,37,34
17,1,US,14635,11057,-12,-28
31,6,US,11057,14679,-7,27
21,7,WN,11292,12191,15,7
19,7,US,14100,10721,-3,-8
30,5,OO,11292,14869,-8,-5
19,5,DL,10721,10397,1,-3
4,3,DL,14893,13487,-7,-18
2,7,B6,13204,10721,-3,0
26,5,FL,14635,10821,-6,-8
5,5,MQ,11618,13930,-7,2
30,7,WN,10693,13198,11,3
6,4,WN,13232,12889,38,30
25,7,B6,12478,13204,-4,-18
8,7,EV,13930,10693,-4,0
6,6,US,14107,12889,-6,-21
14,3,OO,14679,12892,-2,-6
17,6,WN,15376,11292,-1,-6
17,3,9E,11433,14122,-5,-4
26,1,AA,14771,13930,42,27
3,1,AA,10423,13930,-6,-16
16,2,EV,11259,10397,-10,-7
16,5,DL,13303,10397,-2,-3
22,3,WN,13198,12339,84,75
10,3,US,11057,14492,-1,-8
28,1,EV,12264,12266,2,-13
5,7,OO,13891,14057,-12,-21
15,2,AA,11298,10140,192,209
9,5,WN,13198,14107,15,15
30,7,US,10397,14100,74,66
7,3,FL,11697,10821,-3,-5
4,3,DL,12892,12173,5,-11
2,7,OO,12892,14679,-3,0
11,4,MQ,12266,12892,5,-12
8,6,US,11292,14107,-4,-18
9,1,F9,12339,11292,-4,-11
11,3,WN,12191,12953,-1,-14
22,7,WN,13891,14831,30,35
25,2,YV,14730,11057,-12,7
19,1,YV,14730,11057,-10,5
9,1,OO,12892,14893,-10,-8
18,5,EV,11618,11193,-2,-5
23,2,DL,10397,13487,1,-1
24,2,DL,10397,10423,-1,-4
8,3,WN,14057,13796,-8,-6
10,1,WN,13495,11259,1,2
26,1,DL,13930,10397,-8,-5
24,6,DL,14869,11618,10,4
28,3,MQ,13930,11292,205,207
4,5,WN,13232,13204,-4,-13
28,5,WN,10693,11042,5,5
10,1,B6,12954,14893,-2,-2
2,3,WN,14057,13796,0,-12
22,1,MQ,13930,11057,45,40
28,5,WN,13796,14908,-1,-10
12,3,AA,11298,15304,0,-3
23,7,UA,10423,12266,-7,-17
29,2,FL,14635,14122,-15,-5
22,2,YV,11066,11057,-3,17
18,2,DL,10397,10721,-3,-13
16,2,US,11057,11278,3,5
2,4,YV,13930,11057,0,0
3,3,DL,13487,14100,-4,-7
16,2,DL,12892,14492,-10,-9
19,7,US,13930,14107,-3,14
23,1,DL,11433,12889,-2,-17
1,6,US,11057,13303,-4,-20
7,3,OO,14893,14771,127,160
19,5,DL,13342,10397,-2,-11
2,1,B6,10792,12478,117,135
3,5,US,11278,12953,-6,-16
2,4,WN,12889,14679,95,89
29,6,US,14100,15304,58,46
24,5,EV,11433,14122,59,51
19,6,HA,13830,14747,-8,5
22,2,WN,14831,14908,2,2
21,5,US,11057,14107,-1,-3
1,2,UA,12264,11292,12,-11
2,7,WN,11259,10423,-1,-4
27,7,FL,12889,10821,4,-9
8,1,UA,14771,10721,92,72
24,1,UA,10721,11618,115,94
15,1,DL,10721,13204,-5,-13
13,2,DL,10397,14683,-2,-22
18,5,US,14107,11298,1,-8
6,2,AA,13303,14100,-2,12
27,7,WN,14100,13232,12,-14
24,5,F9,13198,11292,18,10
7,1,US,13204,14107,-4,-8
17,5,DL,11278,11433,-8,-12
2,5,WN,14107,11292,10,1
15,1,AA,11298,12892,14,8
25,4,AA,14747,13930,46,37
26,5,9E,12478,14100,4,6
14,1,OO,12954,14869,-5,-15
10,4,EV,11433,14683,10,17
5,6,B6,12451,12478,-7,-8
11,3,FL,10397,12892,8,-7
30,1,US,13930,14100,-6,4
20,7,WN,10140,11259,0,-8
6,7,OO,14679,12892,0,2
26,5,B6,14843,15304,-7,-1
29,4,UA,13930,14771,18,-12
4,4,UA,13930,14107,-1,-24
12,3,DL,10821,11433,-3,-11
20,1,AA,11298,15304,9,7
2,7,US,14100,14027,7,-4
26,5,OO,10800,14869,-4,-12
8,4,WN,15016,10721,3,-15
15,1,FL,10397,13204,4,7
25,4,EV,13930,13931,30,16
23,7,AA,11298,12953,-2,-24
5,5,B6,14027,12953,115,120
4,5,US,11278,12953,-6,-22
14,7,WN,10821,10792,0,-3
30,2,WN,14107,13204,5,27
12,4,WN,11292,11618,232,220
23,3,UA,11618,15304,-4,14
20,4,OO,13930,12339,-6,-8
12,4,US,12953,10721,-4,-13
15,6,F9,11292,14679,20,30
27,2,MQ,13930,10693,-3,-7
30,4,AA,12478,10423,-4,-3
