Date,Airline,Aircraft_Type,Origin_Airport,Destination_Airport,Origin_Region,Destination_Region,Season,Delay_Minutes,Fuel_Consumption,Passenger_Count,Ticket_Revenue,Operating_Cost,Profit,Flight_Distance,Weather_Score,Aircraft_Age,Maintenance_Hours,Load_Factor,On_Time_Performance
2023-06-15,Southwest Airlines,Airbus A320,DEN,LAX,West,West,Fall,11.59196586281393,2712.508715739439,145,22148.453632160697,100703.87341211087,-77649.67526140298,497.98270847717833,8.273610806853517,24.82693295949479,167.66002492365254,0.8970236003122509,0
2023-06-15,JetBlue Airways,Boeing 787,JFK,MIA,Northeast,Southeast,Spring,0.6938665343459799,1478.2749174348423,266,681343.1545691533,111152.0247758896,572992.787963748,2451.2981091270294,9.042255946048499,17.57766813818305,97.76220418111454,0.93504118426865,1
2023-06-15,United Airlines,Airbus A320,ORD,SFO,Midwest,West,Spring,7.668813411233421,2525.6690755649047,144,790918.3647485211,128387.8326077368,700965.9097981831,2666.9502908905697,7.924140419078991,12.88754437470223,129.22304275462358,0.8917127455038261,1
2023-06-15,Southwest Airlines,Airbus A320,LAX,MIA,West,Southeast,Summer,13.506042784454475,2722.5282189399145,96,529439.5560702903,146975.27377627796,385515.1564284029,4961.558338999213,7.210126683642362,6.960229624399917,81.29686305534223,0.5931307732665042,0
2023-06-15,United Airlines,Airbus A320,SFO,JFK,West,Northeast,Fall,1.9729211694296047,2016.9446154434306,133,1429741.9351118365,132926.76072900742,1318899.998661228,4353.4631617484765,7.457055290612263,7.143679842843232,105.84952291469943,0.8211354988999514,1
2023-06-15,Delta Airlines,Airbus A330,LAS,MIA,West,Southeast,Spring,7.800438310552519,4338.055925869679,283,171386.29088797772,113948.15969374929,82804.17782322675,463.3415695677214,8.339184867716313,10.66862067932335,147.05933793405976,0.7922222151359604,1
2023-06-15,Southwest Airlines,Boeing 777,JFK,LAX,Northeast,West,Spring,30.21600818257721,7498.384720195836,406,777527.5700310606,253852.3732767729,519752.68547368713,2752.066485652138,8.448176825362301,9.531124040326176,200.00966475015036,0.9560157583282953,0
2023-06-15,American Airlines,Airbus A320,SEA,ORD,West,Midwest,Winter,1205.9168180969718,2432.0512404504657,101,24491.838074296404,92171.45981137689,-230999.33777765604,431.40807147996225,2.954906869816085,10.50745220777544,108.35900995471599,0.6253881980027689,0
2023-06-15,Delta Airlines,Airbus A330,ORD,DEN,Midwest,West,Winter,113.75088864124893,4451.53219613814,239,3774004.881278527,254859.37066268057,3527152.128984328,4578.080468783253,2.1679542738902575,14.507863940799263,209.1329702666033,0.6691142776967764,0
2023-06-15,Delta Airlines,Airbus A320,MIA,LAS,Southeast,West,Fall,102.0981221806909,2289.3629936894217,132,2166075.1030438314,157762.12276545458,2024673.697618379,4602.708141632703,6.199881532666601,14.582982271383182,113.54920796435316,0.8155844168620875,0
