DayofMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay
24,1,OO,14908,14771,5,0
4,4,DL,10397,14492,-5,-16
28,3,UA,12953,13930,-8,7
18,4,WN,11292,10140,0,1
18,4,OO,12892,14057,34,18
19,4,DL,10397,14908,-1,9
25,2,B6,14747,10299,-4,-30
11,4,OO,11292,13487,22,17
11,7,DL,10821,10397,-1,-11
24,1,US,11057,14771,119,145
16,5,WN,10693,11292,5,5
29,2,MQ,11066,13930,-6,3
4,7,AA,13891,11298,-7,-9
19,5,OO,13487,10693,20,34
26,5,B6,13796,12954,-3,-2
18,7,AS,14908,14747,7,11
5,3,AA,14771,12478,-4,-47
30,3,OO,14057,14747,-4,-7
17,6,UA,13930,15304,-5,-9
13,1,UA,12266,12892,2,-17
4,4,WN,10792,14107,6,-3
18,5,DL,10821,10397,-5,3
20,2,WN,12339,11292,-3,-24
9,2,OO,12892,14869,9,8
3,4,MQ,13930,10821,72,69
26,3,AS,14747,12892,-2,-1
17,3,EV,14492,11618,-14,-10
26,3,US,15016,14107,0,-6
5,7,MQ,12953,11066,11,-16
30,7,US,14107,13930,-5,9
4,3,WN,11433,10821,-2,-9
28,7,WN,13232,11292,15,14
31,6,AA,10721,13303,-5,-24
21,7,WN,14893,14107,2,5
14,2,F9,13232,11292,-1,-6
9,5,WN,13232,10397,17,11
19,5,MQ,13930,11193,144,126
23,3,US,14107,11298,22,21
23,3,WN,15376,14679,3,2
28,7,AA,12266,11298,7,-1
18,2,AA,11298,13204,46,42
30,7,AA,12266,13303,-8,-5
21,7,WN,14747,14831,12,4
25,7,DL,11433,10721,-3,-14
14,2,WN,11292,13487,10,5
3,2,WN,12889,10821,0,-6
28,7,WN,12889,14570,30,42
24,5,AA,11298,10140,0,15
13,6,OO,12954,14869,-10,3
30,5,EV,11618,13495,-2,-41
11,5,US,11057,14122,1,1
16,2,WN,10693,13198,4,-3
13,1,OO,11292,15376,4,-12
16,2,WN,14831,12889,60,47
9,7,DL,10397,15304,47,58
21,7,US,10397,14100,-5,-33
22,3,UA,14057,14771,-4,-13
26,5,US,11057,13931,-3,-5
25,3,9E,12478,14492,38,6
24,1,DL,12953,11433,30,58
20,4,WN,13931,12451,-1,-5
30,5,B6,12889,12478,-4,-3
17,5,DL,13487,14057,-4,-14
21,1,UA,12953,11292,-2,-15
19,3,UA,11618,13204,6,4
13,4,US,13204,11278,37,104
3,1,WN,12889,14100,0,-10
23,7,FL,11697,10821,14,0
2,4,US,14747,14100,6,30
11,5,DL,10397,10721,-2,-10
5,5,UA,14683,12266,-3,-17
25,4,AA,13930,12953,-5,-7
6,1,AA,11298,13303,5,-17
3,1,AA,14492,11298,-1,-12
20,4,WN,13796,14747,0,0
24,2,AA,11298,14771,-1,-1
3,2,F9,11697,11292,0,-13
7,1,DL,12953,11433,36,17
