FlightID,Date,Time,Marketing Airline,FlightNumber,Origin Airport,Destination Airport,Price
2000,2023-01-01,00:00:00,UA,407,ORD,ATL,290.37
2001,2023-01-01,00:15:00,DL,438,ORD,ORD,284.99
2002,2023-01-01,00:30:00,DL,208,ATL,DEN,259.29
2003,2023-01-01,00:45:00,DL,835,SFO,DFW,278.57
2004,2023-01-01,01:00:00,BA,722,SFO,DEN,321.39
2005,2023-01-01,01:15:00,DL,366,ATL,DFW,477.42
2006,2023-01-01,01:30:00,SW,945,SFO,ORD,458.89
2007,2023-01-01,01:45:00,SW,625,LAX,DEN,366.31
2008,2023-01-01,02:00:00,DL,933,JFK,JFK,455.91
2009,2023-01-01,02:15:00,SW,103,LAX,LAX,342.21
2010,2023-01-01,02:30:00,UA,240,DEN,ATL,381.07
2011,2023-01-01,02:45:00,BA,108,ATL,DFW,326.48
2012,2023-01-01,03:00:00,BA,878,ORD,DEN,218.65
2013,2023-01-01,03:15:00,AA,993,ORD,DFW,243.5
2014,2023-01-01,03:30:00,AA,874,SFO,SFO,306.54
2015,2023-01-01,03:45:00,BA,920,ATL,LAX,160.06
2016,2023-01-01,04:00:00,DL,515,JFK,ORD,84.65
2017,2023-01-01,04:15:00,DL,987,LAX,ORD,363.44
2018,2023-01-01,04:30:00,UA,399,LAX,ATL,269.54
2019,2023-01-01,04:45:00,BA,761,JFK,JFK,157.37
2020,2023-01-01,05:00:00,SW,369,LAX,JFK,247.7
2021,2023-01-01,05:15:00,SW,427,SFO,ORD,64.52
2022,2023-01-01,05:30:00,AA,401,JFK,DFW,264.25
2023,2023-01-01,05:45:00,BA,640,ATL,SFO,335.92
2024,2023-01-02,06:00:00,AA,438,LAX,DFW,342.05
2025,2023-01-02,06:15:00,UA,417,JFK,DFW,144.95
2026,2023-01-02,06:30:00,AA,510,SFO,DFW,216.57
2027,2023-01-02,06:45:00,UA,406,DEN,LAX,267.61
2028,2023-01-02,07:00:00,BA,627,SFO,ORD,480.49
2029,2023-01-02,07:15:00,UA,933,ATL,DEN,216.89
2030,2023-01-02,07:30:00,AA,209,JFK,ORD,255.05
2031,2023-01-02,07:45:00,BA,791,ATL,ATL,498.29
2032,2023-01-02,08:00:00,AA,893,JFK,JFK,90.49
2033,2023-01-02,08:15:00,SW,630,LAX,SFO,51.53
2034,2023-01-02,08:30:00,DL,651,LAX,DFW,143.55
2035,2023-01-02,08:45:00,UA,788,SFO,SFO,88.41
2036,2023-01-02,09:00:00,UA,913,SFO,SFO,451.55
2037,2023-01-02,09:15:00,DL,639,JFK,ATL,275.08
2038,2023-01-02,09:30:00,UA,559,JFK,ORD,407.34
2039,2023-01-02,09:45:00,UA,144,LAX,DFW,462.22
2040,2023-01-02,10:00:00,SW,778,ORD,SFO,479.8
2041,2023-01-02,10:15:00,BA,341,SFO,ATL,190.57
2042,2023-01-02,10:30:00,UA,100,DFW,DFW,160.54
2043,2023-01-02,10:45:00,SW,749,ATL,LAX,318.63
2044,2023-01-02,11:00:00,UA,634,DEN,LAX,301.18
2045,2023-01-02,11:15:00,BA,937,JFK,DFW,454.8
2046,2023-01-02,11:30:00,SW,737,LAX,ORD,249.88
2047,2023-01-02,11:45:00,UA,938,SFO,SFO,496.05
2048,2023-01-03,12:00:00,SW,954,DFW,DEN,386.2
2049,2023-01-03,12:15:00,DL,933,SFO,LAX,441.13
2050,2023-01-03,12:30:00,UA,283,JFK,DEN,318.56
2051,2023-01-03,12:45:00,AA,771,LAX,DEN,381.27
2052,2023-01-03,13:00:00,BA,381,LAX,DFW,441.53
2053,2023-01-03,13:15:00,UA,939,ORD,LAX,406.01
2054,2023-01-03,13:30:00,UA,623,JFK,DFW,296.01
2055,2023-01-03,13:45:00,AA,479,SFO,LAX,463.5
2056,2023-01-03,14:00:00,SW,285,ATL,ATL,141.94
2057,2023-01-03,14:15:00,BA,667,ATL,JFK,158.65
2058,2023-01-03,14:30:00,AA,885,SFO,ORD,339.21
2059,2023-01-03,14:45:00,BA,204,DFW,SFO,439.61
2060,2023-01-03,15:00:00,UA,356,DEN,JFK,113.69
2061,2023-01-03,15:15:00,BA,879,ORD,SFO,313.23
2062,2023-01-03,15:30:00,SW,648,DEN,ORD,436.82
2063,2023-01-03,15:45:00,DL,839,ATL,ORD,252.24
2064,2023-01-03,16:00:00,BA,305,ATL,ORD,204.44
2065,2023-01-03,16:15:00,DL,864,JFK,LAX,445.59
2066,2023-01-03,16:30:00,SW,364,DFW,LAX,470.43
2067,2023-01-03,16:45:00,AA,419,DFW,ORD,342.42
2068,2023-01-03,17:00:00,BA,494,ATL,JFK,447.09
2069,2023-01-03,17:15:00,BA,829,DFW,DEN,195.91
2070,2023-01-03,17:30:00,BA,845,LAX,SFO,310.11
2071,2023-01-03,17:45:00,BA,109,DFW,ORD,380.86
2072,2023-01-04,18:00:00,DL,730,LAX,DEN,223.72
2073,2023-01-04,18:15:00,SW,184,ATL,SFO,279.99
2074,2023-01-04,18:30:00,DL,360,SFO,JFK,499.92
2075,2023-01-04,18:45:00,UA,543,DFW,DEN,170.19
2076,2023-01-04,19:00:00,UA,139,DEN,LAX,144.92
2077,2023-01-04,19:15:00,AA,820,DEN,JFK,131.15
2078,2023-01-04,19:30:00,AA,566,DFW,LAX,155.72
2079,2023-01-04,19:45:00,BA,850,DFW,DEN,168.32
2080,2023-01-04,20:00:00,UA,818,LAX,DFW,243.2
2081,2023-01-04,20:15:00,DL,315,LAX,JFK,390.65
2082,2023-01-04,20:30:00,SW,850,LAX,SFO,291.37
2083,2023-01-04,20:45:00,UA,408,JFK,ATL,432.88
2084,2023-01-04,21:00:00,UA,455,ATL,DFW,51.6
2085,2023-01-04,21:15:00,DL,223,LAX,ORD,473.06
2086,2023-01-04,21:30:00,UA,660,LAX,DFW,126.73
2087,2023-01-04,21:45:00,DL,386,JFK,ATL,229.44
2088,2023-01-04,22:00:00,DL,103,DFW,LAX,426.56
2089,2023-01-04,22:15:00,DL,110,ORD,LAX,340.4
2090,2023-01-04,22:30:00,DL,388,JFK,DEN,102.53
2091,2023-01-04,22:45:00,UA,249,LAX,DEN,461.2
2092,2023-01-04,23:00:00,UA,990,JFK,ORD,433.05
2093,2023-01-04,23:15:00,SW,210,ATL,LAX,238.9
2094,2023-01-04,23:30:00,AA,453,DEN,JFK,214.47
2095,2023-01-04,23:45:00,SW,758,DEN,ATL,379.79
2096,2023-01-05,00:00:00,DL,325,ATL,SFO,305.37
2097,2023-01-05,00:15:00,BA,279,DFW,SFO,57.89
2098,2023-01-05,00:30:00,SW,304,LAX,ORD,67.89
2099,2023-01-05,00:45:00,BA,291,DEN,DFW,409.54
2100,2023-01-05,01:00:00,BA,664,JFK,JFK,233.94
2101,2023-01-05,01:15:00,UA,550,ATL,ORD,109.01
2102,2023-01-05,01:30:00,DL,957,LAX,DFW,451.85
