,a,b,c,d
0,0.0397619861339051,0.2185172274750622,0.1034229805166542,0.9579042338107532
1,0.9372879037285884,0.0415672802795344,0.8991254222382951,0.9776795571253272
2,0.7805044779316328,0.0089475378571483,0.5578084027546968,0.7975104497549266
3,0.6727174963492204,0.2478698494627962,0.2640713103088026,0.4443579164412293
4,0.0538286085996788,0.5201244020579979,0.5522642392797277,0.1900075963205363
5,0.2860433671280178,0.5934650440000543,0.9073072637456548,0.6378977150631427
6,0.4304355863327313,0.1662301374942135,0.4693825447762464,0.4977008828313123
7,0.3122955538295512,0.5028232900921878,0.8066087010958843,0.8505190941429479
8,0.1877648514121828,0.9970746427719338,0.8959552961495315,0.530390137569463
9,0.9081621790575398,0.2327264107153671,0.4141382611943452,0.4320069001558664
